,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
33,frozenset({'InsecureForms'}),frozenset({'CLASS_LABEL'}),0.843,0.4895,0.4686666666666667,0.5559509687623567,1.135752745173354,1.0,0.0560181666666667,1.1496478183437222,0.7613163783964993,0.542542928805711,0.1301684011015803,0.756695266471747
34,frozenset({'FrequentDomainNameMismatch'}),frozenset({'CLASS_LABEL'}),0.21216666666666667,0.4895,0.19566666666666666,0.9222309505106048,1.88402645661002,1.0,0.09181108333333332,6.564308080808072,0.5955852223029902,0.3866930171277997,0.847661019609412,0.660979281860682
95,"frozenset({'NoHttps', 'InsecureForms'})",frozenset({'CLASS_LABEL'}),0.843,0.4895,0.4686666666666667,0.5559509687623567,1.135752745173354,1.0,0.0560181666666667,1.1496478183437222,0.7613163783964993,0.542542928805711,0.1301684011015803,0.756695266471747
101,"frozenset({'NoHttps', 'FrequentDomainNameMismatch'})",frozenset({'CLASS_LABEL'}),0.2115,0.4895,0.195,0.921985815602837,1.8835256702815872,1.0,0.09147075000000002,6.543681818181827,0.5949026876737722,0.38537549407114624,0.8471808336980158,0.6601757474336963
130,"frozenset({'RandomString', 'InsecureForms'})",frozenset({'CLASS_LABEL'}),0.44,0.4895,0.22383333333333333,0.5087121212121212,1.0392484600860494,1.0,0.00845333333333334,1.0391056283731688,0.06743963408148074,0.31719414265470003,0.037633929896417596,0.4829907218249915
149,"frozenset({'FrequentDomainNameMismatch', 'InsecureForms'})",frozenset({'CLASS_LABEL'}),0.197,0.4895,0.186,0.9441624365482233,1.9288303095980048,1.0,0.0895685,9.142590909090899,0.5996900065614162,0.37162837162837165,0.8906218149818282,0.6620710037695151
208,"frozenset({'NoHttps', 'RandomString', 'InsecureForms'})",frozenset({'CLASS_LABEL'}),0.44,0.4895,0.22383333333333333,0.5087121212121212,1.0392484600860494,1.0,0.00845333333333334,1.0391056283731688,0.06743963408148074,0.31719414265470003,0.037633929896417596,0.4829907218249915
256,"frozenset({'NoHttps', 'FrequentDomainNameMismatch', 'InsecureForms'})",frozenset({'CLASS_LABEL'}),0.197,0.4895,0.186,0.9441624365482233,1.9288303095980048,1.0,0.0895685,9.142590909090899,0.5996900065614162,0.37162837162837165,0.8906218149818282,0.6620710037695151
